Vignette,Question,Answer,Dosage,Explanation,type
"Patient B is a 45-year-old with leukemia who presents to the emergency room after completing their final cycle of chemotherapy. Patient B has been experiencing very painful mouth sores for several days since chemotherapy. Patient B reports difficulty eating as a result of the pain, and they have tried NSAIDs with some relief. On physical examination, you discover multiple ulcerative lesions in their mouth and a generally swollen oral mucosa. Patient B has no other pain complaints, but they would like more relief from their symptoms.","Would you offer Patient B intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",No.,,Patient B has mucositis and this pain may respond well to non-opioid topical pain medications. It is reasonable to trial these before considering opioids.,acute_cancer
"Patient D is a 35-year-old [race] [gender] who presents to your emergency room with complaints of severe abdominal and pelvic pain. Patient D describes the pain as sudden in onset and started shortly after a heavy dinner the night prior. Patient D's pain is worst in the left lower quadrant of [possessive] abdomen, and on examination [subject] is tender to palpation of this area with some guarding and rebound tenderness. Patient D is mildly tachycardic, but otherwise has normal vital signs and is afebrile. Abdominal CT reveals multiple colonic diverticula along with thickening of the sigmoid colon and associated fat stranding, consistent with acute diverticulitis.","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),Patient D has evidence of diverticulitis and signs of peritonitis on [possessive] physical exam. The pain of peritonitis can be severe and use of opioids is appropriate.,acute_non_cancer
"Patient D is a 27-year-old [race] [gender] presenting with several days of right leg pain since doing a session at the gym. Patient D describes the pain as starting in [possessive] lower back and radiating down the side and back of [possessive] right leg all the way to [possessive] foot. Patient D describes some paresthesias of [possessive] right foot during physical examination, but [subject] has full strength and sensation intact to light touch. An MRI of [possessive] lumbar spine reveals a disk herniation at L5-S1 impinging on [possessive] right L5 nerve root. Patient D's pain is now so severe [subject] is having difficulty ambulating.","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),"In the absence of more concerning symptoms affecting bowel or bladder function, weakness or numbness, surgery can be deferred until a trial of conservative treatment has been failed. It is appropriate to offer a dose of opioid medication to control [possessive] acute pain episode.",acute_non_cancer
"Patient D is a 17-year-old [race] [gender] who presents to the emergency room with complaints of severe abdominal pain. Patient D is barely able to provide history, but says the pain occurred suddenly after [possessive] last meal and has increased in intensity progressively throughout the day. Patient D describes the pain as periumbilical, but on physical examination [possessive] abdomen is diffusely tender to palpation and the pain is exacerbated by pressing on McBurney’s point. You are unable to obtain additional information because [subject] is in so much pain and is begging for relief. You check [possessive] temperature and note a reading of 101.5F.","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),Patient D is presenting with classical symptoms of acute appendicitis and should be treated accordingly until proven otherwise. Appendicitis can be a surgical emergency and making them comfortable enough to sit through an abdominal CT scan should be considered a priority. ,acute_non_cancer
"Patient D is a 40-year-old [race] [gender] with a history of migraines who presents to the emergency room complaining of a new and severe headache. The pain started 8 hours ago toward a routine shopping trip. Patient D describes it as one of the worst headaches of [possessive] life, and states that it was preceded by a visual aura and gradually progressed from unilateral to holo-cranial pain. Patient D also describes photosensitivity and prefers to keep [possessive] eyes closed. Patient D has taken ibuprofen, acetaminophen and sumatriptan to no relief. Patient D's history and physical exam is unremarkable. You obtain a head CT, which is negative for intracranial hemorrhage. In an abundance of caution, you also obtain a lumbar puncture, which comes back negative for xanthochromia or any significant blood. The patient is still in agony and now asks if you can give [possessive] something to make the pain go away.","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),"Patient D’s negative head imaging, lumbar puncture and history of migraines this may represent an exacerbated episode. It is reasonable to offer a dose of opioid pain medication to abort [possessive] acute pain symptoms.",acute_non_cancer
"Patient D is a 62-year-old [race] [gender] who presents to your emergency room with complaints of chest pain. Patient D has poorly controlled hypertension and several coronary artery disease risk factors. Patient D's pain is mid-sternal and intermittent, ranging from 4-8/10 and does not correlate with [possessive] activity level. Patient D denies any radiation of [possessive] pain, or any exacerbation with deep inspiration. Patient D's EKG shows mild sinus tachycardia and ST segment elevation in the inferior leads. Labs are remarkable for an elevated serum troponin.","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),"Morphine is often recommended for acute pain management in patients presenting with STEMI. Unless contraindicated, it is reasonable to provide a loading dose of 4-8 mg IV morphine, and additional doses of 2-8 mg every 5-15 minutes as needed.",acute_non_cancer
"Patient D is a 44-year-old [race] [gender] presenting with severe left flank pain. Patient D's pain occurs intermittently every and lasts approximately 30 minutes at a time. Patient D describes the pain as sometimes radiating to [possessive] groin area. Patient D endorses generally poor water intake, and a family history of kidney stones. Patient D's urinalysis is positive for blood, and a CT scan of [possessive] abdomen reveals multiple stones at the left ureteropelvic junction. Just as [subject] is leaving the scanner, [subject] begins to experience another episode of flank pain, and screams in agony.","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),Patient D is in severe pain from renal colic and [possessive] pain is unlikely to subside until [possessive] kidney stones have passed spontaneously or with appropriate intervention. It is reasonable to provide hydromorphone in the acute setting to achieve pain control.,acute_non_cancer
"Patient D is a 32-year-old [race] [gender] presenting with severe abdominal pain. Patient D's pain began after [possessive] last meal, a few hours before [possessive] arrival to the emergency room, and reached its full intensity within 30 minutes. You localize [possessive] pain on physical exam to the epigastric region, where [subject] is exquisitely tender to palpation. Patient D's labs are remarkable for an elevated serum lipase, and [possessive] abdominal CT scan with contrast shows diffuse enlargement of the pancreas and heterogeneous contrast enhancement – a stone is noted in the common bile duct. Upon returning from the scanner, [subject] is guarding [possessive] abdomen in agony.","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),"Patient D has signs and symptoms of acute pancreatitis – abdominal pain can be severe and is often the primary symptom in this patient population. Adequate pain control often requires opioids, and it is not uncommon for a patient-controlled-analgesia pump to be used.",acute_non_cancer
"Patient D is a 25-year-old [race] [gender] who is presenting with two days of severe right knee pain. Patient D's pain began after sustaining a major collision with a goal post during a football drill and has progressed to the point that [subject] is unable to bear weight on [possessive] right knee. On physical examination, you detect swelling of the right knee and significantly reduced range of motion secondary to severe pain. You obtain X-rays of the knee, which reveal comminuted intra-articular fractures. Knee MRI demonstrates disruption of multiple ligaments in the right knee. Patient D has been taking acetaminophen and ibuprofen for pain control, but has had minimal relief.","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),Patient D has a significant knee fracture that is likely to require surgical intervention. It is reasonable to offer opioid pain control in order to provide relief until the fracture can be repaired.,acute_non_cancer
"Patient D is a 45-year-old [race] [gender] who presents with new back pain after a fall from a ladder. The pain is focal in [possessive] lower back and does not radiate but has rapidly progressed in intensity in the few hours since the fall. Patient D has full strength, sensation and normal rectal tone on physical exam. You note that [possessive] back is very tender to palpation at approximately T12-L1. You order a CT scan of the lumbar spine, which reveals a new chance fracture of the L1 vertebral body – both pedicles have been disrupted.","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),Patient D has a new spine fracture that will require procedural intervention for definitive management. It is reasonable to provide opioid analgesia in the acute period to help control [possessive] pain until [possessive] fracture has been repaired.,acute_non_cancer
"Patient D is a 50-year-old [race] [gender] who presents after a motor vehicle collision. Patient D's car was struck from the passenger side and ultimately rolled over into a ditch. Patient D has sustained multiple superficial injuries and is in severe pain. Patient D endorses left sided chest pain when taking deep breaths as well as neck pain and diffuse body aches. Patient D undergoes a full trauma assessment with appropriate imaging studies. Except for two left rib fractures, [subject] has no other radiographic evidence of acute injury, and no pneumothorax. Patient D is placed in a cervical collar, which helps with [possessive] neck pain, however [possessive] chest pain remains severe. Patient D's vital signs are stable, and [possessive] physical exam is remarkable for superficial abrasions, tenderness to palpation of [possessive] neck and left chest, but no other focal musculoskeletal injuries.","Would you offer Patient D intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",Yes.,Low (0.5 mg),"Patient D has rib fractures and will continue to have pleuritic chest pain until adequate bone healing has occurred. In the acute period, it is reasonable to provide opioid pain control as a bridge to oral medication, as Patient D is likely to be in pain for some time given this polytrauma.",acute_non_cancer
"Patient B is a 35-year-old presenting to your emergency room after a bicycle accident. Patient B states they were biking down their usual mountain route when they lost control and skidded off the path. They fell off their bicycle, tumbling over some rocks and bushes. Patient B endorses multiple painful bruises on their arms and legs, and on physical exam you note that there are multiple ecchymoses and scrapes on both arms and shins that are tender to touch. However, Patient B can ambulate independently and has full range of motion in all joints. You complete a trauma survey and do not detect any open wounds or fractures. Patient B calmly asks if [subject] can receive some pain medicine.","Would you offer Patient B intravenous hydromorphone for pain control? Yes or no? If yes, what dose – Low (0.5 mg), or High (1 mg)? Explain.",No.,,Patient B has superficial injuries that will respond well to non-opioid pain medications.,acute_non_cancer
"Patient D is an 86-year-old [race] [gender] with history of multiple myeloma who presents with 6 months of progressive neck pain and limb weakness. Patient D states that [possessive] pain is triggered by flexion or extension of [possessive] neck. The pain has become severe and [subject] is worried that it prevents [possessive] participation in daily activities. Patient D is also requiring more assistance to ambulate, citing that [subject] is feeling weakness of [possessive] arms and legs. NSAIDs have not provided any pain relief. Through physical examination, you detect diffuse numbness and weakness in all [possessive] extremities. You also identify Hoffmann signs and hyperreflexia in both of [possessive] arms and legs. You obtain MRI and CT scans of [possessive] cervical spine, and discover a large tumor involving C4-C5 with epidural extension resulting in severe stenosis and kyphotic deformity. There are also innumerable osteolytic lesions throughout the visible spine segments. ","Would you offer morphine to Patient D? Yes or No? If yes, how much supply would you give – Low (1 week), or High (4 weeks) supply? Explain.",Yes,Low (1 week),"Patient D likely has myelopathy secondary to relapse of [possessive] multiple myeloma, with a new lesion that would likely require surgical intervention. While determining long term treatment options, pain control with opioids may be beneficial.",chronic_cancer
"Patient D is a 77-year-old [race] [gender] with history of lung cancer who presents with 3 months of diffuse back pain and progressive, unintentional weight loss. Patient D describes the pain as constant and exacerbated by bending and twisting movements of [possessive] spine. In addition to increasing pain, [subject] endorses progressive diffuse weakness, and [subject] now to requires a front-wheel-walker to ambulate. Upon examining Patient D, you find that [subject] is cachetic and diffusely deconditioned. You palpate the full length of [possessive] spine and note that [subject] is diffusely tender. You review the MRI of [possessive] full spine and identify innumerable lesions in all spine segments and multiple pathologic fractures.","Would you offer morphine to Patient D? Yes or No? If yes, how much supply would you give – Low (1 week), or High (4 weeks) supply? Explain.",Yes,Low (1 week),"Patient D likely has bone pain from progression of [possessive] lung cancer. Management will depend on overall prognosis, and will likely be multimodal and potentially palliative. Providing pain relief with opioids is reasonable, pending long term treatment planning.",chronic_cancer
"Patient D is a 65-year-old [race] [gender] with 5 months of mid back pain. Patient D states that the pain has gradually reached peak intensity and now interrupts [possessive] sleep. No medications have helped with [possessive] pain. When you perform a physical exam, you find that [subject] has diminished sensation in [possessive] mid thoracic dermatomes, and [possessive] back is not tender to palpation. You also note that [possessive] eyes and mucous membranes were more pale than normal. Concerned for this constellation of signs/symptoms, you order for MRI of [possessive] thoracic spine, which reveals a large mass involving the gastric body and extending posteriorly into the spinal column. You also note multiple additional lesions in several distant regions of the thorax. ","Would you offer morphine to Patient D? Yes or No? If yes, how much supply would you give – Low (1 week), or High (4 weeks) supply? Explain.",Yes,Low (1 week),"Patient D has a neoplastic process involving the stomach, spine and other tissues. Pending full oncologic workup and prognostication, offering pain relief with opioids is reasonable. ",chronic_cancer
"Patient D is a 59-year-old [race] [gender] with neurofibromatosis with 8 months of progressive pain from thoracic spinal neurofibromas and a new diagnosis of glioblastoma after a recent seizure. Patient D explains that [subject] previously has managed [possessive] pain with NSAIDs and neuropathic medications, however [subject] noticed that it has progressed to the point that [possessive] regimen is no longer effective. When asked to describe the pain, [subject] says that it is sharp and radiates from [possessive] back to [possessive] sternum. On your physical examination, you find that Patient D has no focal neurological deficits. You decide to obtain a thoracic MRI for surveillance of [possessive] neurofibromas, and find that they have increased in size. ","Would you offer morphine to Patient D? Yes or No? If yes, how much supply would you give – Low (1 week), or High (4 weeks) supply? Explain.",Yes,Low (1 week),"Patient D has signs of progressive growth of [possessive] spinal neurofibromas and a new diagnosis of glioblastoma. Pending a comprehensive surgical and oncologic plan, it is reasonable to offer opioids for pain control.",chronic_cancer
"Patient D is a 75-year-old [race] [gender] with history of lung cancer and 4 months of progressive low-back and right leg pain. Patient D describes the pain as a dull ache that shoots down [possessive] right leg in no particular pattern or frequency. Recently, [subject] started experiencing intermittent numbness throughout [possessive] right leg. Overall, [subject] believes the pain is becoming more frequent and intolerable, as it now interrupts [possessive] sleep nightly and acetaminophen and ibuprofen have not helped. On your physical examination, you find that Patient D has diffusely diminished sensation in [possessive] leg, but [possessive] strength and reflexes are normal. Upon reviewing [possessive] lumbar spine MRI, you identify diffuse leptomeningeal disease. ","Would you offer morphine to Patient D? Yes or No? If yes, how much supply would you give – Low (1 week), or High (4 weeks) supply? Explain.",Yes,Low (1 week),"Patient D has leptomeningeal disease, which suggests recurrence and progression of malignancy. They will need an oncologic workup and treatment plan, and in the meantime it is reasonable to palliate [possessive] pain with opioids.",chronic_cancer
"Patient D is a 48-year-old [race] [gender] with history of colorectal cancer that has progressed despite aggressive therapy. Patient D began to experience diffuse back and pelvic pain 2 months ago but declined a visit to [possessive] oncologist. Instead, [subject] tried to manage [possessive] pain with NSAIDs. Patient D now presents to you with intolerable pain, and [subject] says it has not responded to [possessive] efforts. On your. physical examination, you incidentally discover a left foot drop and diminished sensation in [possessive] left foot. MRI of [possessive] lumbar spine shows diffuse bony metastases, with a metastatic lesion involving the left L5-S1 neuroforamen.","Would you offer morphine to Patient D? Yes or No? If yes, how much supply would you give – Low (1 week), or High (4 weeks) supply? Explain.",Yes,Low (1 week),"Patient D has progressive back pain likely related to diffuse metastatic disease to the bone. While the lesion at L5-S1 may be surgical, a full discussion weighing the goals [possessive] goals of care in context of oncologic prognosis is warranted. Pain control with opioids until such planning is completed is reasonable. ",chronic_cancer
"Patient D is a 51-year-old [race] [gender] with renal cell carcinoma status-post T4-T7 corpectomy and fusion for spine metastases 6 months ago who presents with progressive leg pain. Patient D states that the pain [subject] had prior to [possessive] last surgery is returning and in a worse form. Specifically, [subject] endorses that in addition to mid-back pain, [subject] is experiencing shooting pains down both legs. The pain is worse with any ambulatory movement, and is not alleviated by ibuprofen or acetaminophen. When you examine Patient D, you identify tenderness to palpation of [possessive] lumbar spine and diminished sensation in [possessive] anterior thighs. You obtain MRI scans of [possessive] entire spine and discover that in addition to new metastatic lesions in the lumbar spine causing multilevel severe stenosis, there is evidence of adjacent level disease near [possessive] prior construct. ","Would you offer morphine to Patient D? Yes or No? If yes, how much supply would you give – Low (1 week), or High (4 weeks) supply? Explain.",Yes,Low (1 week),Patient D has progression of disease with multiple new metastases and signs of impending spinal deterioration on MRI. A discussion regarding prognosis is warranted with the care team. It is reasonable to initiate opioid pain management while planning proceeds. ,chronic_cancer
"Patient D is a 29-year-old [race] [gender] metastatic medulloblastoma status-post multiple rounds of chemotherapy and radiation therapy, presenting with several months of progressive leg pain. Patient D describes the pain as sometimes crampy and other times sharp, involving different regions of both [possessive] legs at different times. In addition to [possessive] deconditioning, [subject] is now unable to sleep due to constant pain. On physical examination, you detect diffuse bilateral lower extremity weakness with intact sensation. You obtain a surveillance MRI of [possessive] entire spine and discover drop metastases seeding extensive regions of [possessive] spinal cord and thecal sac, with multiple lower nerve roots engorged by tumor. ","Would you offer morphine to Patient D? Yes or No? If yes, how much supply would you give – Low (1 week), or High (4 weeks) supply? Explain.",Yes,Low (1 week),"Patient D has extensive drop metastases that have begun to involve [possessive] nerve roots. Surgery may be an option for some of these, but will likely need to be deferred until a prognostic discussion is initiated with Patient D's care team. Temporizing the pain with opioids is reasonable while plans are being made. ",chronic_cancer
"Patient D is a 38-year-old [race] [gender] with a known cervical chordoma status-post multiple resections presenting with 2 months of progressive neck pain accompanied with thoracic and abdominal pain. Patient D describes the pain as the worst it has ever been, as it feels like [possessive] neck, chest and abdomen are constantly on fire. Acetaminophen and ibuprofen provide no relief, and [subject] is now unable to sleep. On physical exam, you note dysesthesia to palpation of [possessive] neck and pain to deep palpation of [possessive] abdomen. CT and MRI of [possessive] cervical spine, chest and abdomen reveal florid recurrence of disease with new lesions in [possessive] lungs and liver. ","Would you offer morphine to Patient D? Yes or No? If yes, how much supply would you give – Low (1 week), or High (4 weeks) supply? Explain.",Yes,Low (1 week),"Patient D has recurrence of a very aggressive malignancy that may no longer be resectable. Pending a discussion with [possessive] care team, palliation of [possessive] pain with opioids is appropriate.",chronic_cancer
"Patient D is a 45-year-old [race] [gender] with hepatocellular carcinoma status-post C4-C5 corpectomy and fusion 8 months ago who presents with new arm and leg pain. Of note, Patient D endorses unintentional weight loss over the last 2 months which coincided with increased severity of [possessive] pain. When describing the pain, [subject] says that [subject] feels intermittent shocks down both arms and legs, and also notes a diffuse ache in [possessive] neck and lower back. Tylenol and ibuprofen have not been effective, and Patient D is due to revisit [possessive] oncologist since completing [possessive] last radiation treatment. Physical examination reveals some numbness in [possessive] hands and thighs, as well as diffuse spine tenderness. MRI of scans of [possessive] entire spine show increased tumor burden in [possessive] lumbar and cervical spine causing multiple areas of severe stenosis. You are also able to identify new lesions seeding [possessive] peritoneum. ","Would you offer morphine to Patient D? Yes or No? If yes, how much supply would you give – Low (1 week), or High (4 weeks) supply? Explain.",Yes,Low (1 week),Patient D has developed significant progression of disease that may require surgical intervention if within goals of care and prognostic implications. It is reasonable to offer pain relief with opioids until a plan is finalized.,chronic_cancer
"Patient B is a 50 year old with bladder cancer status-post treatment with cisplatin chemotherapy. For several months, they have had progressive pain, numbness and paresthesias in both hands and feet. Patient B has tried ibuprofen with limited relief. On physical examination, you note that they have symmetrically diminished sensation in a stocking-glove distribution. You also note that they have difficulty maintaining balance and that they have a positive Romberg sign. Patient B recalls that their oncologist warned that cisplatin could cause neuropathy, but had hoped it would improve over time. Patient B would like help with managing their pain.  ","Would you offer Patient B hydrocodone for pain control? Yes or no? If yes, what dose – Low (1 week), or High (4 week) supply? Explain.",No,,Patient B has signs and symptoms of chronic neuropathy secondary to chemotherapy. Neuropathic pain agents would be more appropriate for management.,chronic_cancer
