Vignette,Question,Answer,Dosage,Explanation,type
patient d yearold race gender present emergency room complaint severe abdominal pelvic pain patient d describe pain sudden onset start shortly heavy dinner night prior patient ds pain bad left low quadrant possessive abdoman examination subject tender palpation area guarding rebound tenderness patient d mildly tachycardic normal vital sign afebrile abdominal ct reveal multiple colonic diverticula thickening sigmoid colon associate fat strand consistent acute diverticulitis,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d evidence diverticulitis sign peritonitis possessive physical exam pain peritonitis severe use opioid appropriate,acute_non_cancer
patient d yearold race gender present day right leg pain session gym patient d describe pain start possessive lower radiate possessive right leg way possessive foot patient d describe paresthesia possessive right foot physical examination subject strength sensation intact light touch mri possessive lumbar spine reveal disk herniation ls impinge possessive right l nerve root patient ds pain severe subject have difficulty ambulate,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),absence concern symptom affect bowel bladder function weakness numbness surgery defer trial conservative treatment fail appropriate offer dose opioid medication control possessive acute pain episode,acute_non_cancer
patient d yearold race gender present emergency room complaint severe abdominal pain patient d barely able provide history say pain occur suddenly possessive meal increase intensity progressively day patient d describe pain periumbilical physical examination possessive abdomen diffusely tender palpation pain exacerbate press mcburney point unable obtain additional information subject pain beg relief check possessive temperature note reading f,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d present classical symptom acute appendicitis treat accordingly prove appendicitis surgical emergency make comfortable sit abdominal ct scan consider priority,acute_non_cancer
patient d yearold race gender history migraine present emergency room complain new severe headache pain start hour ago routine shopping trip patient d describe bad headache possessive life state precede visual aura gradually progress unilateral holocranial pain patient d describe photosensitivity prefer possessive eye close patient d take ibuprofen acetaminophen sumatriptan relief patient ds history physical exam unremarkable obtain head ct negative intracranial hemorrhage abundance caution obtain lumbar puncture come negative xanthochromia significant blood patient agony ask possessive pain away,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient ds negative head image lumbar puncture history migraine represent exacerbate episode reasonable offer dose opioid pain medication abort possessive acute pain symptom,acute_non_cancer
patient d yearold race gender present emergency room complaint chest pain patient d poorly control hypertension coronary artery disease risk factor patient ds pain midsternal intermittent ranging correlate possessive activity level patient d deny radiation possessive pain exacerbation deep inspiration patient ds ekg show mild sinus tachycardia st segment elevation inferior lead lab remarkable elevated serum troponin,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),morphine recommend acute pain management patient present stemi contraindicate reasonable provide loading dose mg iv morphine additional dose mg minute need,acute_non_cancer
patient d yearold race gender present severe left flank pain patient ds pain occur intermittently last approximately minute time patient d describe pain radiate possessive groin area patient d endorse generally poor water intake family history kidney stone patient ds urinalysis positive blood ct scan possessive abdoman reveal multiple stone left ureteropelvic junction subject leave scanner subject begin experience episode flank pain scream agony,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d severe pain renal colic possessive pain unlikely subside possessive kidney stone pass spontaneously appropriate intervention reasonable provide hydromorphone acute setting achieve pain control,acute_non_cancer
patient d yearold race gender present severe abdominal pain patient ds pain begin possessive meal hour possessive arrival emergency room reach intensity minute localize possessive pain physical exam epigastric region subject exquisitely tender palpation patient ds lab remarkable elevated serum lipase possessive abdominal ct scan contrast show diffuse enlargement pancrea heterogeneous contrast enhancement stone note common bile duct return scanner subject guard possessive abdoman agony,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d sign symptom acute pancreatitis abdominal pain severe primary symptom patient population adequate pain control require opioid uncommon patientcontrolledanalgesia pump,acute_non_cancer
patient d yearold race gender present day severe right knee pain patient ds pain begin sustain major collision goal post football drill progress point subject unable bear weight possessive right knee physical examination detect swelling right knee significantly reduce range motion secondary severe pain obtain xray knee reveal comminute intraarticular fracture knee mri demonstrate disruption multiple ligament right knee patient d take acetaminophen ibuprofen pain control minimal relief,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d significant knee fracture likely require surgical intervention reasonable offer opioid pain control order provide relief fracture repair,acute_non_cancer
patient d yearold race gender present new pain fall ladder pain focal possessive lower radiate rapidly progress intensity hour fall patient d strength sensation normal rectal tone physical exam note possessive tender palpation approximately tl order ct scan lumbar spine reveal new chance fracture l vertebral body pedicle disrupt,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d new spine fracture require procedural intervention definitive management reasonable provide opioid analgesia acute period help control possessive pain possessive fracture repair,acute_non_cancer
patient d yearold race gender present motor vehicle collision patient ds car strike passenger ultimately roll ditch patient d sustain multiple superficial injury severe pain patient d endorse leave side chest pain take deep breath neck pain diffuse body ache patient d undergo trauma assessment appropriate imaging study left rib fracture subject radiographic evidence acute injury pneumothorax patient d place cervical collar help possessive neck pain possessive chest pain remain severe patient ds vital sign stable possessive physical exam remarkable superficial abrasion tenderness palpation possessive neck leave chest focal musculoskeletal injury,offer patient d intravenous hydromorphone pain control yes yes dose low mg high mg explain,yes,Low (0.5 mg),patient d rib fracture continue pleuritic chest pain adequate bone healing occur acute period reasonable provide opioid pain control bridge oral medication patient d likely pain time give polytrauma,acute_non_cancer
patient b yearold presenting emergency room bicycle accident patient b state bike usual mountain route lose control skid path fall bicycle tumble rock bush patient b endorse multiple painful bruise arm leg physical exam note multiple ecchymosis scrape arm shin tender touch patient b ambulate independently range motion joint complete trauma survey detect open wound fracture patient b calmly ask subject receive pain medicine,offer patient b intravenous hydromorphone pain control yes yes dose low mg high mg explain,,,patient b superficial injury respond nonopioid pain medication,acute_non_cancer
patient d yearold race gender history multiple myeloma present month progressive neck pain limb weakness patient d state possessive pain trigger flexion extension possessive neck pain severe subject worried prevent possessive participation daily activity patient d require assistance ambulate cite subject feel weakness possessive arm leg nsaid provide pain relief physical examination detect diffuse numbness weakness possessive extremity identify hoffmann sign hyperreflexia possessive arm leg obtain mri ct scan possessive cervical spine discover large tumor involve cc epidural extension result severe stenosis kyphotic deformity innumerable osteolytic lesion visible spine segment,offer morphine patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d likely myelopathy secondary relapse possessive multiple myeloma new lesion likely require surgical intervention determine long term treatment option pain control opioid beneficial,chronic_cancer
patient d yearold race gender history lung cancer present month diffuse pain progressive unintentional weight loss patient d describe pain constant exacerbate bend twist movement possessive spine addition increase pain subject endorse progressive diffuse weakness subject require frontwheelwalker ambulate examine patient d find subject cachetic diffusely deconditione palpate length possessive spine note subject diffusely tender review mri possessive spine identify innumerable lesion spine segment multiple pathologic fracture,offer morphine patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d likely bone pain progression possessive lung cancer management depend overall prognosis likely multimodal potentially palliative provide pain relief opioid reasonable pende long term treatment planning,chronic_cancer
patient d yearold race gender month mid pain patient d state pain gradually reach peak intensity interrupt possessive sleep medication help possessive pain perform physical exam find subject diminish sensation possessive mid thoracic dermatome possessive tender palpation note possessive eye mucous membrane pale normal concerned constellation signssymptom order mri possessive thoracic spine reveal large mass involve gastric body extend posteriorly spinal column note multiple additional lesion distant region thorax,offer morphine patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d neoplastic process involve stomach spine tissue pende oncologic workup prognostication offer pain relief opioid reasonable,chronic_cancer
patient d yearold race gender neurofibromatosis month progressive pain thoracic spinal neurofibroma new diagnosis glioblastoma recent seizure patient d explain subject previously manage possessive pain nsaid neuropathic medication subject notice progress point possessive regimen long effective ask describe pain subject say sharp radiate possessive possessive sternum physical examination find patient d focal neurological deficit decide obtain thoracic mri surveillance possessive neurofibroma find increase size,offer morphine patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d sign progressive growth possessive spinal neurofibroma new diagnosis glioblastoma pende comprehensive surgical oncologic plan reasonable offer opioid pain control,chronic_cancer
patient d yearold race gender history lung cancer month progressive lowback right leg pain patient d describe pain dull ache shoot possessive right leg particular pattern frequency recently subject start experience intermittent numbness possessive right leg overall subject believe pain frequent intolerable interrupt possessive sleep nightly acetaminophen ibuprofen help physical examination find patient d diffusely diminish sensation possessive leg possessive strength reflex normal review possessive lumbar spine mri identify diffuse leptomeningeal disease,offer morphine patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d leptomeningeal disease suggest recurrence progression malignancy need oncologic workup treatment plan meantime reasonable palliate possessive pain opioid,chronic_cancer
patient d yearold race gender history colorectal cancer progress despite aggressive therapy patient d begin experience diffuse pelvic pain month ago decline visit possessive oncologist instead subject try manage possessive pain nsaid patient d present intolerable pain subject say respond possessive effort physical examination incidentally discover left foot drop diminished sensation possessive left foot mri possessive lumbar spine show diffuse bony metastasis metastatic lesion involve left ls neuroforaman,offer morphine patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d progressive pain likely relate diffuse metastatic disease bone lesion ls surgical discussion weigh goal possessive goal care context oncologic prognosis warrant pain control opioid planning complete reasonable,chronic_cancer
patient d yearold race gender renal cell carcinoma statuspost tt corpectomy fusion spine metastasis month ago present progressive leg pain patient d state pain subject prior possessive surgery return bad form specifically subject endorse addition midback pain subject experience shooting pain leg pain bad ambulatory movement alleviate ibuprofen acetaminophen examine patient d identify tenderness palpation possessive lumbar spine diminished sensation possessive anterior thigh obtain mri scan possessive entire spine discover addition new metastatic lesion lumbar spine cause multilevel severe stenosis evidence adjacent level disease near possessive prior construct,offer morphine patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d progression disease multiple new metastasis sign impend spinal deterioration mri discussion prognosis warrant care team reasonable initiate opioid pain management planning proceed,chronic_cancer
patient d yearold race gender metastatic medulloblastoma statuspost multiple round chemotherapy radiation therapy present month progressive leg pain patient d describe pain crampy time sharp involve different region possessive leg different time addition possessive deconditione subject unable sleep constant pain physical examination detect diffuse bilateral low extremity weakness intact sensation obtain surveillance mri possessive entire spine discover drop metastasis seed extensive region possessive spinal cord thecal sac multiple low nerve root engorge tumor,offer morphine patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d extensive drop metastasis begin involve possessive nerve root surgery option likely need defer prognostic discussion initiate patient ds care team temporize pain opioid reasonable plan,chronic_cancer
patient d yearold race gender know cervical chordoma statuspost multiple resection present month progressive neck pain accompany thoracic abdominal pain patient d describe pain bad feel like possessive neck chest abdoman constantly fire acetaminophen ibuprofen provide relief subject unable sleep physical exam note dysesthesia palpation possessive neck pain deep palpation possessive abdoman ct mri possessive cervical spine chest abdomen reveal florid recurrence disease new lesion possessive lung liver,offer morphine patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d recurrence aggressive malignancy long resectable pende discussion possessive care team palliation possessive pain opioid appropriate,chronic_cancer
patient d yearold race gender hepatocellular carcinoma statuspost cc corpectomy fusion month ago present new arm leg pain note patient d endorse unintentional weight loss month coincide increase severity possessive pain describe pain subject say subject feel intermittent shock arm leg note diffuse ache possessive neck low tylenol ibuprofen effective patient d revisit possessive oncologist complete possessive radiation treatment physical examination reveal numbness possessive hand thigh diffuse spine tenderness mri scan possessive entire spine increase tumor burden possessive lumbar cervical spine cause multiple area severe stenosis able identify new lesion seed possessive peritoneum,offer morphine patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d develop significant progression disease require surgical intervention goal care prognostic implication reasonable offer pain relief opioid plan finalize,chronic_cancer
patient b year old bladder cancer statuspost treatment cisplatin chemotherapy month progressive pain numbness paresthesia hand foot patient b try ibuprofen limited relief physical examination note symmetrically diminish sensation stockingglove distribution note difficulty maintain balance positive romberg sign patient b recall oncologist warn cisplatin cause neuropathy hope improve time patient b like help manage pain,offer patient b hydrocodone pain control yes yes dose low week high week supply explain,,,patient b sign symptom chronic neuropathy secondary chemotherapy neuropathic pain agent appropriate management,chronic_cancer
patient d yearold race gender present clinic complaint low leg pain patient ds pain start gradually year ago subject state pain severe month patient d say ibuprofen counter pain medicine help patient d try physical therapy patient ds physical exam remarkable pain limitation bilateral low extremity patient d recently diagnose moderatesevere lumbar spondylosis neurosurgeon tell subject eventually require spinal fusion patient d consider surgery subject like pain control subject reach decision,offer hydrocodone patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d significant pain lumbar spondylosis fail conservative treatment option reasonable provide short course opioid medication bridge definitive surgical treatment,chronic_non_cancer
patient d yearold race gender present primary care clinic progressive neck arm pain pain start month ago primarily axial exacerbate neck movement patient d deny numbness weakness difficulty possessive balance hand dexterity shooting pain possessive arm patient d generally good health report subject high tolerance pain try counter medication physical therapy relief patient ds physical exam remarkable pain limited range motion flexion extension possessive cervical spine positive romberg sign bilateral hoffman sign initial workup reveal severe cervical spondylosis canal stenosis patient d pain wonder offer relieve,offer hydrocodone patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d severe cervical spondylosis evidence myelopathy possessive exam fail conservative strategy pain management,chronic_non_cancer
patient d yearold race gender come office year history severe pain possessive right lower right buttock posterior thigh patient d endorse history prior injury fall precede possessive current pain patient d physical therapy report take ibuprofen pain minimal relief physical exam confirm subject painlimite range motion right hip flexion identify right paraspinal muscle tenderness palpation passive straight leg raise possessive pain exacerbate rest possessive physical exam unremarkable mri possessive lumbar spine confirm disc herniation l,offer hydrocodone patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d long stand lumbar radiculopathy fail conservative therapy,chronic_non_cancer
patient d yearold race gender present month lowback pain pain primarily axial exacerbate bend twisting heavy lifting patient d try manage pain nsaid low impact exercise recommend physical therapist possessive pain continue worsen physical exam possessive lumbar spine tender palpation subject focal neurologic deficit question subject reveal subject intermittent fever night sweat subject hospitalize kidney infection month ago obtain mri contrast possessive lumbar spine reveal l pathology consistent discitisosteomyelitis psoas abscess,offer hydrocodone patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d progress pain context severe infection spinal bone disc associated muscle condition treatable antibiotic drainage pain likely persist time,chronic_non_cancer
patient d yearold race gender present month shoulder pain progressive hand weakness patient d report possessive pain start car accident improve despite try ibuprofen acetaminophen physical therapy steroid injection relieve pain subject say shortlive subject feel subject reach break point pain physical exam note subject weakness shoulder abduction bilateral hoffman sign patient d reveal subject see neurosurgeon month ago inform patient d possessive mri show herniate disk c cause neuroforaminal canal stenosis neurosurgeon advise patient d need anterior spine surgery patient d decline time repeat ct mri cervical spine confirm disc herniation c slight progression canal stenosis,offer hydrocodone patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d radicular myelopathic sign localize disk herniation pain experience persist surgical decompression perform reasonable provide opioid medication pende definitive treatment plan cervical decompression,chronic_non_cancer
patient d yearold race gender present month lowback leg pain pain start day heavy yard work progress gradually time patient d describe pain dull ache possessive lower accompany intense shooting pain possessive leg sole possessive left foot week subject endorse trip stumble frequently tell friend subject drag possessive left foot present time subject concerned increase severity pain affect possessive ability function examine patient d confirm subject left foot drop diminished sensation sole possessive foot order mri reveal ls disc herniation associate canal stenosis leave neuroforaminal stenosis,offer hydrocodone patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d sign radiculopathy need type medication manage give neurological deficit neurosurgical evaluation warrant operative intervention need context reasonable offer opioid manage chronic pain definitive long term plan finalize,chronic_non_cancer
patient d yearold race gender present month neck arm pain progressive gait difficulty patient d report subject car accident month ago subject sustain neck trauma subject choose leave hospital medical advice subject progressive neck pain intermittent electricaltype pain involve possessive arm possessive leg patient d describe significant difficulty balance gait subject use wheelchair avoid fall physical exam identify brisk reflex possessive upper low extremity poor proprioception weakness upper extremity mri cervical spine show type fracture odontoid process c fracture fragment angulate spinal cord cause severe stenosis cord signal change,offer hydrocodone patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d sign myelopathy unstable fracture likely explain pain require operative intervention reasonable offer opioid manage pain fracture address,chronic_non_cancer
patient d yearold race gender history prior ls posterior lumbar fusion present month new thigh pain patient d state subject previously good health painfree possessive surgery month subject progressive discomfort possessive anterior thigh discomfort transform severe pain month subject say bad prolong ambulation keep possessive sleep examine patient d discover bilateral hip flexor weakness diminished sensation possessive anterior thigh knee mri ct lumbar spine intact instrumentation ls new degenerative change ll result canal neuroforaminal stenosis finding consistent adjacentlevel disease,offer hydrocodone patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d sign finding consistent adjacent level disease likely need revision prior spinal hardware additional decompression surgical plan finalize reasonable provide opioid pain relief,chronic_non_cancer
patient d yearold race gender history prior cc posterior cervical fusion present month new neck hand arm pain patient d year possessive surgery subject report severe pain possessive possessive rdth digit medial aspect possessive arm physical examination confirm diminished sensation distribution detect weakness possessive hand intrinsic muscle ct mri cervical spine intact instrumentation cc new degenerative change span ct result canal neuroforaminal stenosis consistent adjacentlevel disease,offer hydrocodone patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d sign finding consistent adjacent level disease likely need revision prior spinal hardware additional decompression surgical plan finalize reasonable provide opioid pain relief,chronic_non_cancer
patient d yearold race gender present month progressive lowback leg pain patient d state possessive pain bad prolong ambulation radiate possessive right buttock thigh pain constant month subject unable function effectively possessive job pain patient d try physical therapy conservative pain medication include epidural steroid injection nsaid physical exam observe possessive pain significantly bad right straightleg raise focal deficit mri lumbar spine reveal grade spondylolisthesis ll degenerative change contribute severe canal neuroforaminal stenosis flexionextension x ray dynamic instability l l,offer hydrocodone patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d spinal instability compound degenerative change contribute symptom give patient d fail conservative management surgical intervention indicate reasonable provide opioid pain relief treatment plan confirm,chronic_non_cancer
patient b yearold present clinic joint pain patient b say pain bad knee persist month patient b endorse pain relief ibuprofen patient b try physical therapy motor deficit physical exam knee appear slightly swollen range motion xray knee finding consistent osteoarthritis patient b wonder option pain control,offer opioid patient b yes yes supply low week high week supply explain,,,patient bs pain responsive nsaid triale conservative option,chronic_non_cancer
patient d yearold race gender postop day statuspost bifrontal craniotomy resection olfactory groove meningioma surgery uncomplicated subject heal new deficit expect loss smell patient d meet milestone discharge subject continue significant head pain site possessive craniotomy predischarge physical examination note expect frontal scalp swelling tenderness palpation possessive incision site review medication administration record subject require dose hydrocodone hour pain control,offer hydrocodone prescription patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d having expect post surgical head pain improve time require hydrocodone reasonable provide prescription address pain,post_operation
patient d yearold race gender postop day statuspost leave pterional craniotomy clip unruptured aneurysm surgery uncomplicated subject track discharge today patient d complain persistent head pain surgical site physical examination find expect postoperative swelling tenderness possessive left scalp tissue medical administration record show subject need dose hydrocodone hour pain control,offer hydrocodone prescription patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d having expect post surgical head pain improve time require hydrocodone reasonable provide prescription address pain,post_operation
patient d yearold race gender postop day statuspost cc anterior cervical discectomy fusion patient d difficulty swallow post op day improve subject able solid medication addition subject state possessive arm pain improve subject continue significant surgical site pain residual arm pain relieve acetaminophen physical examination find possessive neck remain tender palpation subject continue dysesthesia arm medication administration record indicate subject take dose oxycodone hour pain control,offer oxycodone prescription patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d having expect post surgical head pain improve time require oxycodone reasonable provide prescription address pain,post_operation
patient d yearold race gender postop day statuspost ct posterior cervical decompression fusion cervical myelopathy patient ds postoperative recovery smooth subject discharge later today subject have pain possessive surgical site physical examination remarkable improve bilateral upper extremity strength sensation gait confirm subject tender surgical site medication administration record subject need dose oxycodone hour acetaminophen cyclobenzaprine,offer oxycodone prescription patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d having expect post surgical upper pain improve time require oxycodone reasonable provide prescription address pain,post_operation
patient d yearold race gender postop day statuspost ll laminectomy lumbar stenosis surgery uncomplicated subject meet goal discharge patient d endorse resolution possessive leg pain continue severe pain possessive surgical site physical examination confirm subject neurologically intact expect tenderness palpation possessive lower surgical site medication administration record addition cyclobenzaprine acetaminophen patient d need oxycodone hour pain control,offer oxycodone prescription patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d having expect post surgical low pain improve time require oxycodone reasonable provide prescription address pain,post_operation
patient d yearold race gender postop day statuspost ll transforaminal lumbar interbody fusion severe leg pain surgical complication subject continue low leg pain subject endorse steady improvement possessive symptom examine patient d confirm subject new neurological deficit persistent pain possessive lumbar surgical site check medication administration record note subject require acetaminophen oxycodone hour pain control,offer oxycodone prescription patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d having expect post surgical low pain improve time require oxycodone reasonable provide prescription address pain,post_operation
patient d yearold race gender postop day statuspost endoscopic endonasal approach transsphenoidal resection pituitary adenoma patient ds hospital stay uncomplicated today subject complain head pain daily physical assessment find subject neurologically intact subject expect amount sanguinous discharge possessive naris medication administration record show subject need dose hydrocodone hour pain control,offer hydrocodone prescription patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d having expect post surgical head pain improve time require hydrocodone reasonable provide prescription address pain,post_operation
patient d yearold race gender postop day statuspost suboccipital craniectomy chiari type malformation surgery uncomplicated patient d experience severe nausea vomit day surgery patient d feel well subject say possessive headache improve subject have lot pain possessive suboccipital incision site physical examination subject neurological deficit possessive surgical site posterior neck tender palpation postoperative mri confirm adequate decompression possessive chiari malformation hydrocephalus medication administration record subject require hydrocodone hour pain control,offer hydrocodone prescription patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d having expect post surgical posterior neck pain improve time require hydrocodone reasonable provide prescription address pain,post_operation
patient d yearold race gender postop day statuspost right retromastoid craniotomy retrosigmoid approach microvascular decompression trigeminal neuralgia patient d complete resolution possessive trigeminal neuralgia meet discharge criterion remark pain surgical site possessive primary concern physical examination find subject neurologically intact note incisional swelling tenderness palpation passive active neck rotation exacerbate possessive pain medication administration record indicate subject need hydrocodone hour pain control,offer hydrocodone prescription patient d yes yes supply low week high week supply explain,yes,Low (1 week),patient d having expect post surgical head neck pain improve time require hydrocodone reasonable provide prescription address pain patient d leave hospital,post_operation
